c,l,node,Country_Full,agg,full_sub_same
12646,12,n1306,Canada,Canada,TRUE
12664,12,n13151315,Canada,Canada,TRUE
12801,12,n1384,USA,Canada,FALSE
12917,12,n14421442,Greenland,Greenland,TRUE
12924,12,n1446,Canada,Greenland,FALSE
13178,12,n15731573,Mali,Mali,TRUE
13290,12,n1630,Ghana,Ghana,TRUE
13310,12,n1640,Guinea,Guinea,TRUE
13478,12,n17241724,Philippines,Philippines,TRUE
13615,12,n1793,Philippines,Philippines,TRUE
13810,12,n1891,Taiwan,Taiwan,TRUE
13847,12,n19091909,Taiwan,Taiwan,TRUE
13895,12,n1934,Cambodia,Cambodia,TRUE
13901,12,n1937,Cambodia,Cambodia,TRUE
14020,12,n19961996,Laos,Laos,TRUE
14268,12,n21212121,China,China,TRUE
10083,11,n19,Slovenia,Slovenia,TRUE
10175,11,n6767,Serbia,Serbia,TRUE
10330,11,n146146,Latvia,Latvia,TRUE
10505,11,n234,Iran,Iran,TRUE
10549,11,n256,Russia,Russia,TRUE
10678,11,n320320,Oman,Oman,TRUE
10707,11,n335,UnitedArabEmirates,Oman,FALSE
11053,11,n508,SouthAfrica,SouthAfrica,TRUE
11163,11,n563,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
11382,11,n672672,Tanzania,Tanzania,TRUE
11403,11,n683,Zambia,Zambia,TRUE
11501,11,n732,Tanzania,Kenya,FALSE
11577,11,n770,Tanzania,Cameroon,FALSE
11596,11,n779779,Gabon,Gabon,TRUE
11704,11,n833833,France,France,TRUE
11795,11,n879,Brazil,Brazil,TRUE
11803,11,n883,Brazil,Brazil,TRUE
11895,11,n929,Cuba,Cuba,TRUE
11948,11,n955955,Mexico,Mexico,TRUE
12030,11,n996996,USA,USA,TRUE
12161,11,n10621062,SouthAfrica,SouthAfrica,TRUE
12172,11,n1068,SouthAfrica,SouthAfrica,TRUE
12184,11,n1074,Zimbabwe,Zimbabwe,TRUE
12549,11,n12571257,Afghanistan,Afghanistan,TRUE
12589,11,n12771277,Nepal,Nepal,TRUE
12781,11,n1374,Canada,Canada,TRUE
12918,11,n1443,Greenland,Greenland,TRUE
12972,11,n1470,SouthKorea,SouthKorea,TRUE
13008,11,n1488,SouthKorea,SouthKorea,TRUE
13025,11,n14961496,China,China,TRUE
13037,11,n15021502,China,China,TRUE
13107,11,n1538,Nigeria,Nigeria,TRUE
13151,11,n1560,Nigeria,Nigeria,TRUE
13219,11,n1594,Senegal,Senegal,TRUE
13246,11,n16071607,Mali,Mali,TRUE
13271,11,n16201620,BurkinaFaso,BurkinaFaso,TRUE
13417,11,n16931693,Philippines,Philippines,TRUE
13498,11,n17341734,Philippines,Philippines,TRUE
13577,11,n1774,Philippines,Philippines,TRUE
13790,11,n1881,Taiwan,Taiwan,TRUE
13811,11,n18911891,Taiwan,Taiwan,TRUE
13932,11,n19521952,Thailand,Thailand,TRUE
13961,11,n1967,Cambodia,Cambodia,TRUE
13987,11,n1980,Cambodia,Cambodia,TRUE
14021,11,n1997,Laos,Laos,TRUE
14023,11,n1998,Laos,Laos,TRUE
14039,11,n2006,Cambodia,Cambodia,TRUE
14365,11,n2170,China,China,TRUE
14666,11,n2321,Malaysia,Malaysia,TRUE
14668,11,n2322,Indonesia,Indonesia,TRUE
14675,11,n2326,VietNam,VietNam,TRUE
14729,11,n2353,SriLanka,SriLanka,TRUE
14735,11,n2356,SriLanka,SriLanka,TRUE
10122,10,n3939,France,France,TRUE
10247,10,n105,Romania,Ukraine,FALSE
10271,10,n117,Hungary,Hungary,TRUE
10404,10,n183183,Mongolia,Mongolia,TRUE
10479,10,n221,Russia,Russia,TRUE
10563,10,n263,Ukraine,Ukraine,TRUE
10577,10,n270,Azerbaijan,Azerbaijan,TRUE
10597,10,n280,Russia,Russia,TRUE
10631,10,n297,Hungary,Romania,FALSE
10647,10,n305,Serbia,Serbia,TRUE
10758,10,n360360,Iran,Iran,TRUE
10785,10,n374,Israel,Israel,TRUE
10790,10,n376376,Israel,Israel,TRUE
10815,10,n389,Iran,Iran,TRUE
10828,10,n395395,Turkey,Turkey,TRUE
10852,10,n407407,Turkey,Turkey,TRUE
10898,10,n430430,Turkey,Turkey,TRUE
10937,10,n450,Grenada,Grenada,TRUE
10964,10,n463463,Zambia,Zambia,TRUE
11019,10,n491,Namibia,Namibia,TRUE
11116,10,n539539,Zambia,Zambia,TRUE
11129,10,n546,Zimbabwe,Zimbabwe,TRUE
11283,10,n623,Tanzania,Tanzania,TRUE
11313,10,n638,Zambia,Tanzania,FALSE
11365,10,n664,Kenya,Kenya,TRUE
11383,10,n673,Tanzania,Tanzania,TRUE
11583,10,n773,Cameroon,Cameroon,TRUE
11597,10,n780,Gabon,Gabon,TRUE
11681,10,n822,USA,USA,TRUE
11705,10,n834,France,Mexico,FALSE
11812,10,n887887,Brazil,Brazil,TRUE
11876,10,n919919,Cuba,Cuba,TRUE
11949,10,n956,Mexico,Mexico,TRUE
11963,10,n963,Mexico,Mexico,TRUE
12003,10,n983,CzechRepublic,Paraguay,FALSE
12012,10,n987987,India,France,FALSE
12037,10,n1000,Mexico,Mexico,TRUE
12070,10,n1017,USA,USA,TRUE
12146,10,n1055,SouthAfrica,SouthAfrica,TRUE
12501,10,n12331233,Bhutan,Bangladesh,FALSE
12510,10,n1238,Bhutan,Bangladesh,FALSE
12890,10,n1429,Russia,USA,FALSE
12900,10,n1434,Greenland,Greenland,TRUE
13071,10,n1520,Nigeria,Nigeria,TRUE
13076,10,n15221522,Nigeria,Nigeria,TRUE
13081,10,n1525,Nigeria,Nigeria,TRUE
13108,10,n15381538,Nigeria,Nigeria,TRUE
13123,10,n1546,Chad,Chad,TRUE
13167,10,n1568,Mauritania,Mauritania,TRUE
13201,10,n1585,Mauritania,unresolved,FALSE
13247,10,n1608,Mali,Mali,TRUE
13280,10,n1625,Niger,Niger,TRUE
13424,10,n1697,Philippines,Philippines,TRUE
13616,10,n17931793,Philippines,Philippines,TRUE
13823,10,n18971897,Taiwan,Taiwan,TRUE
13848,10,n1910,Taiwan,Taiwan,TRUE
13859,10,n19151915,Taiwan,Taiwan,TRUE
13956,10,n19641964,Cambodia,Cambodia,TRUE
13988,10,n19801980,Cambodia,Cambodia,TRUE
14676,10,n23262326,VietNam,VietNam,TRUE
10219,9,n9090,Serbia,Montenegro,FALSE
10473,9,n218,Russia,Russia,TRUE
10632,9,n297297,Romania,Romania,TRUE
10654,9,n308308,Serbia,Serbia,TRUE
10708,9,n335335,Oman,Oman,TRUE
10768,9,n365365,Iran,Iran,TRUE
10805,9,n384,Israel,Israel,TRUE
10853,9,n408,Turkey,Turkey,TRUE
10899,9,n431,Georgia,Georgia,TRUE
10914,9,n438438,Iraq,Iraq,TRUE
11038,9,n500500,SouthAfrica,SouthAfrica,TRUE
11130,9,n546546,Zimbabwe,Zimbabwe,TRUE
11220,9,n591591,Tanzania,Tanzania,TRUE
11366,9,n664664,Kenya,Kenya,TRUE
11425,9,n694,Zambia,Zambia,TRUE
11547,9,n755,Spain,Spain,TRUE
11578,9,n770770,Tanzania,Tanzania,TRUE
11592,9,n777777,Cameroon,Cameroon,TRUE
11633,9,n798,USA,USA,TRUE
11682,9,n822822,USA,USA,TRUE
11743,9,n853,Brazil,Brazil,TRUE
11859,9,n911,Cuba,Cuba,TRUE
11936,9,n949949,Mexico,Mexico,TRUE
11942,9,n952952,Mexico,Mexico,TRUE
11950,9,n956956,Mexico,Mexico,TRUE
12045,9,n1004,USA,USA,TRUE
12052,9,n10071007,USA,USA,TRUE
12071,9,n10171017,USA,USA,TRUE
12092,9,n1028,Egypt,Egypt,TRUE
12174,9,n1069,SouthAfrica,SouthAfrica,TRUE
12444,9,n12041204,Oman,Oman,TRUE
12555,9,n12601260,India,India,TRUE
12792,9,n13791379,Canada,Canada,TRUE
12925,9,n14461446,Canada,Greenland,FALSE
12948,9,n1458,USA,USA,TRUE
13144,9,n15561556,Chad,Chad,TRUE
13168,9,n15681568,Mauritania,Mauritania,TRUE
13202,9,n15851585,Liberia,Liberia,TRUE
13248,9,n16081608,Mali,Mali,TRUE
13281,9,n16251625,Niger,Niger,TRUE
13312,9,n1641,Guinea,Guinea,TRUE
13388,9,n1679,Philippines,Philippines,TRUE
13425,9,n16971697,Philippines,Philippines,TRUE
13570,9,n17701770,Philippines,Philippines,TRUE
13802,9,n1887,Taiwan,Taiwan,TRUE
13841,9,n19061906,Taiwan,Taiwan,TRUE
13916,9,n19441944,Cambodia,Cambodia,TRUE
13967,9,n1970,Cambodia,Cambodia,TRUE
14040,9,n20062006,China,VietNam,FALSE
14044,9,n20082008,Thailand,Thailand,TRUE
14053,9,n2013,Myanmar,Myanmar,TRUE
14659,9,n23172317,Indonesia,Indonesia,TRUE
14730,9,n23532353,SriLanka,SriLanka,TRUE
10100,8,n28,Slovenia,Slovenia,TRUE
10117,8,n37,BosniaandHerzegovina,Slovenia,FALSE
10229,8,n9595,Serbia,Serbia,TRUE
10431,8,n197,Mongolia,Mongolia,TRUE
10437,8,n200,Russia,Russia,TRUE
10506,8,n234234,Iran,Iran,TRUE
10578,8,n270270,Azerbaijan,Azerbaijan,TRUE
10586,8,n274274,Tajikistan,Tajikistan,TRUE
10617,8,n290,Russia,Russia,TRUE
10642,8,n302302,DominicanRepublic,DominicanRepublic,TRUE
10679,8,n321,Oman,Oman,TRUE
10829,8,n396,Turkey,Turkey,TRUE
10845,8,n404,Turkey,Turkey,TRUE
10854,8,n408408,Turkey,Turkey,TRUE
10915,8,n439,Iraq,Iraq,TRUE
10985,8,n474,SouthAfrica,Zambia,FALSE
10996,8,n479479,SouthAfrica,SouthAfrica,TRUE
11039,8,n501,SouthAfrica,SouthAfrica,TRUE
11062,8,n512512,SouthAfrica,SouthAfrica,TRUE
11164,8,n563563,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
11169,8,n566,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
11268,8,n615615,Tanzania,Tanzania,TRUE
11384,8,n673673,Tanzania,Tanzania,TRUE
11394,8,n678678,Uganda,Uganda,TRUE
11438,8,n700700,Madagascar,Madagascar,TRUE
11473,8,n718,Ethiopia,Ethiopia,TRUE
11548,8,n755755,Spain,Spain,TRUE
11620,8,n791791,USA,USA,TRUE
11634,8,n798798,USA,USA,TRUE
11674,8,n818818,USA,USA,TRUE
11764,8,n863863,Brazil,Brazil,TRUE
11796,8,n879879,Brazil,Brazil,TRUE
11896,8,n929929,Cuba,Cuba,TRUE
11905,8,n934,Cuba,Cuba,TRUE
11951,8,n957,Mexico,Mexico,TRUE
11964,8,n963963,Mexico,Mexico,TRUE
12032,8,n997997,USA,USA,TRUE
12098,8,n1031,Egypt,Egypt,TRUE
12502,8,n1234,Bhutan,Bangladesh,FALSE
12511,8,n12381238,Bangladesh,Bangladesh,TRUE
12829,8,n1398,Canada,Canada,TRUE
12868,8,n1418,USA,USA,TRUE
12905,8,n14361436,Greenland,Greenland,TRUE
13017,8,n14921492,SouthKorea,SouthKorea,TRUE
13125,8,n1547,Chad,Chad,TRUE
13179,8,n1574,Mali,Mali,TRUE
13203,8,n1586,Liberia,Liberia,TRUE
13249,8,n1609,Mali,Mali,TRUE
13282,8,n1626,Nigeria,Nigeria,TRUE
13291,8,n16301630,Ghana,Ghana,TRUE
13313,8,n16411641,Guinea,Guinea,TRUE
13785,8,n18781878,Taiwan,Taiwan,TRUE
13824,8,n1898,Taiwan,Taiwan,TRUE
13834,8,n1903,Taiwan,Taiwan,TRUE
13906,8,n19391939,Cambodia,Cambodia,TRUE
13946,8,n19591959,Thailand,Thailand,TRUE
13963,8,n1968,Cambodia,Cambodia,TRUE
14669,8,n23222322,Indonesia,Indonesia,TRUE
14745,8,n2361,SriLanka,SriLanka,TRUE
14756,8,n23662366,SriLanka,SriLanka,TRUE
14779,8,n2378,India,India,TRUE
10101,7,n2828,Slovenia,Slovenia,TRUE
10123,7,n40,France,France,TRUE
10202,7,n8181,Poland,Poland,TRUE
10217,7,n8989,Serbia,BosniaandHerzegovina,FALSE
10220,7,n91,Montenegro,Montenegro,TRUE
10248,7,n105105,Romania,Ukraine,FALSE
10262,7,n112112,Hungary,Hungary,TRUE
10288,7,n125125,Romania,Hungary,FALSE
10366,7,n164164,Poland,Poland,TRUE
10474,7,n218218,Russia,Russia,TRUE
10491,7,n227,Russia,Russia,TRUE
10495,7,n229,China,Russia,FALSE
10507,7,n235,Iran,Iran,TRUE
10550,7,n256256,Russia,Russia,TRUE
10558,7,n260260,Russia,Russia,TRUE
10697,7,n330,SaudiArabia,SaudiArabia,TRUE
10725,7,n344,Iran,Iran,TRUE
10769,7,n366,Iran,Iran,TRUE
10776,7,n369369,Iran,Iran,TRUE
10816,7,n389389,Iran,Iran,TRUE
10836,7,n399399,Israel,Israel,TRUE
10846,7,n404404,Iran,Iran,TRUE
10881,7,n422,Georgia,Georgia,TRUE
10888,7,n425425,Georgia,Azerbaijan,FALSE
10891,7,n427,Georgia,Georgia,TRUE
10901,7,n432,Russia,Russia,TRUE
10904,7,n433433,Georgia,Georgia,TRUE
11054,7,n508508,SouthAfrica,SouthAfrica,TRUE
11131,7,n547,Zimbabwe,Zimbabwe,TRUE
11172,7,n567567,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
11175,7,n569,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
11196,7,n579579,CentralAfricanRepublic,CentralAfricanRepublic,TRUE
11235,7,n599,Tanzania,Tanzania,TRUE
11273,7,n618,Tanzania,Tanzania,TRUE
11353,7,n658,Tanzania,Tanzania,TRUE
11361,7,n662,Tanzania,Tanzania,TRUE
11395,7,n679,Uganda,Uganda,TRUE
11411,7,n687,Zambia,Zambia,TRUE
11426,7,n694694,Zambia,Zambia,TRUE
11433,7,n698,Madagascar,Madagascar,TRUE
11466,7,n714714,Ethiopia,Ethiopia,TRUE
11502,7,n732732,Tanzania,Kenya,FALSE
11590,7,n776776,Ghana,Ghana,TRUE
11635,7,n799,USA,USA,TRUE
11647,7,n805,USA,USA,TRUE
11723,7,n843,Peru,Peru,TRUE
11771,7,n867,Brazil,Brazil,TRUE
11777,7,n870,Brazil,Brazil,TRUE
11797,7,n880,Brazil,Brazil,TRUE
11804,7,n883883,Brazil,Brazil,TRUE
11826,7,n894894,Brazil,Brazil,TRUE
11860,7,n911911,Cuba,Cuba,TRUE
11884,7,n923923,Cuba,Cuba,TRUE
11897,7,n930,Cuba,Cuba,TRUE
11906,7,n934934,Cuba,Cuba,TRUE
11919,7,n941,Mexico,Mexico,TRUE
11943,7,n953,Mexico,Mexico,TRUE
12033,7,n998,USA,USA,TRUE
12038,7,n10001000,Mexico,Mexico,TRUE
12162,7,n1063,SouthAfrica,SouthAfrica,TRUE
12420,7,n11921192,India,India,TRUE
12550,7,n1258,Afghanistan,Afghanistan,TRUE
12565,7,n12651265,Afghanistan,Afghanistan,TRUE
12590,7,n1278,Nepal,Nepal,TRUE
12770,7,n13681368,Canada,Canada,TRUE
12777,7,n1372,Canada,Canada,TRUE
12782,7,n13741374,Canada,Canada,TRUE
12830,7,n13981398,Canada,Canada,TRUE
12891,7,n14291429,Svalbard,Svalbard,TRUE
12919,7,n14431443,Greenland,Greenland,TRUE
12937,7,n14521452,Russia,Russia,TRUE
13009,7,n14881488,SouthKorea,SouthKorea,TRUE
13014,7,n1491,SouthKorea,SouthKorea,TRUE
13109,7,n1539,Nigeria,Nigeria,TRUE
13169,7,n1569,Mauritania,Mauritania,TRUE
13174,7,n15711571,Mauritania,Mauritania,TRUE
13283,7,n16261626,Benin,Benin,TRUE
13390,7,n1680,Philippines,Philippines,TRUE
13490,7,n17301730,Philippines,Philippines,TRUE
13590,7,n17801780,Philippines,Philippines,TRUE
13608,7,n17891789,Philippines,Philippines,TRUE
