node	Country_Full	agg
KM366342	Cambodia	Cambodia
KM366345	Cambodia	Cambodia
KM366349	Cambodia	Cambodia
EU086134	Cambodia	Cambodia
KX148249	Cambodia	Cambodia
KM366282	Cambodia	Cambodia
KM366247	Cambodia	Cambodia
KM366281	Cambodia	Cambodia
KM366274	Cambodia	Cambodia
KM366276	Cambodia	Cambodia
EU086172	Cambodia	Cambodia
KM366283	Cambodia	Cambodia
KM366318	Cambodia	Cambodia
KM366263	Cambodia	Cambodia
KM366322	Cambodia	Cambodia
KM366255	Cambodia	Cambodia
KM366323	Cambodia	Cambodia
KM366292	Cambodia	Cambodia
KM366339	Cambodia	Cambodia
KM366239	Cambodia	Cambodia
KM366324	Cambodia	Cambodia
KM366319	Cambodia	Cambodia
KM366293	Cambodia	Cambodia
KM366280	Cambodia	Cambodia
KM366264	Cambodia	Cambodia
KM366265	Cambodia	Cambodia
KM366325	Cambodia	Cambodia
EU086215	Cambodia	Cambodia
KM366235	Cambodia	Cambodia
KM366249	Cambodia	Cambodia
KM366327	Cambodia	Cambodia
KM366329	Cambodia	Cambodia
KM366344	Cambodia	Cambodia
KM366307	Cambodia	Cambodia
KM366241	Cambodia	Cambodia
KM366237	Cambodia	Cambodia
KM366236	Cambodia	Cambodia
KM366336	Cambodia	Cambodia
MK790256	VietNam	VietNam
KM366221	Cambodia	Cambodia
KM366216	Cambodia	Cambodia
KM366222	Cambodia	Cambodia
KM366202	Cambodia	Cambodia
KM366350	Cambodia	Cambodia
KM366338	Cambodia	Cambodia
MK790255	VietNam	VietNam
KM366316	Cambodia	Cambodia
KM366225	Cambodia	Cambodia
KM366317	Cambodia	Cambodia
KM366223	Cambodia	Cambodia
KM366313	Cambodia	Cambodia
KM366291	Cambodia	Cambodia
EU086131	Cambodia	Cambodia
KM366310	Cambodia	Cambodia
KM366315	Cambodia	Cambodia
KM366248	Cambodia	Cambodia
KM366306	Cambodia	Cambodia
EU086168	Cambodia	Cambodia
KX148251	Cambodia	Cambodia
LC071946	Thailand	Thailand
LC071945	Thailand	Thailand
LC071947	Thailand	Thailand
LC071944	Thailand	Thailand
LC071943	Thailand	Thailand
LC071937	Thailand	Thailand
LC071938	Thailand	Thailand
LC071939	Thailand	Thailand
LC071942	Thailand	Thailand
LC071941	Thailand	Thailand
LC071940	Thailand	Thailand
LC071949	Thailand	Thailand
LC071950	Thailand	Thailand
LC071951	Thailand	Thailand
LC071948	Thailand	Thailand
LC071967	Thailand	Thailand
LC071966	Thailand	Thailand
LC071968	Thailand	Thailand
LC071955	Thailand	Thailand
LC071954	Thailand	Thailand
LC071953	Thailand	Thailand
LC071952	Thailand	Thailand
LC071957	Thailand	Thailand
LC071956	Thailand	Thailand
LC071958	Thailand	Thailand
LC071959	Thailand	Thailand
LC071960	Thailand	Thailand
LC071965	Thailand	Thailand
LC071964	Thailand	Thailand
LC071963	Thailand	Thailand
LC071962	Thailand	Thailand
LC071961	Thailand	Thailand
DQ849069	China	China
MW055078	VietNam	VietNam
LC071976	Thailand	Thailand
LC071970	Thailand	Thailand
LC071975	Thailand	Thailand
LC071973	Thailand	Thailand
LC071980	Thailand	Thailand
LC071979	Thailand	Thailand
LC071978	Thailand	Thailand
MH460408	Thailand	Thailand
LC071977	Thailand	Thailand
LC071982	Thailand	Thailand
LC071972	Thailand	Thailand
LC071969	Thailand	Thailand
LC071974	Thailand	Thailand
LC071981	Thailand	Thailand
LC071971	Thailand	Thailand
GQ303558	Thailand	Thailand
GQ303557	Thailand	Thailand
HQ166186	Thailand	Thailand
KM366285	Cambodia	Cambodia
KM366256	Cambodia	Cambodia
KM366287	Cambodia	Cambodia
KM366203	Cambodia	Cambodia
KM366320	Cambodia	Cambodia
KM366346	Cambodia	Cambodia
KM366219	Cambodia	Cambodia
KM366305	Cambodia	Cambodia
KM366208	Cambodia	Cambodia
KM366347	Cambodia	Cambodia
KM366296	Cambodia	Cambodia
KM366311	Cambodia	Cambodia
KM366312	Cambodia	Cambodia
KM366250	Cambodia	Cambodia
KM366232	Cambodia	Cambodia
EU086132	Cambodia	Cambodia
KM366252	Cambodia	Cambodia
KX148253	Cambodia	Cambodia
EU086169	Cambodia	Cambodia
KM366332	Cambodia	Cambodia
KM366295	Cambodia	Cambodia
KM366228	Cambodia	Cambodia
KM366212	Cambodia	Cambodia
KM366211	Cambodia	Cambodia
KM366229	Cambodia	Cambodia
KM366205	Cambodia	Cambodia
KM366348	Cambodia	Cambodia
KM366304	Cambodia	Cambodia
KM366303	Cambodia	Cambodia
KM366314	Cambodia	Cambodia
KM366253	Cambodia	Cambodia
KM366207	Cambodia	Cambodia
KM366224	Cambodia	Cambodia
KM366341	Cambodia	Cambodia
KM366214	Cambodia	Cambodia
KM366272	Cambodia	Cambodia
KM366294	Cambodia	Cambodia
KM366231	Cambodia	Cambodia
KM366286	Cambodia	Cambodia
KM366284	Cambodia	Cambodia
KM366290	Cambodia	Cambodia
KM366302	Cambodia	Cambodia
KM366308	Cambodia	Cambodia
KM366275	Cambodia	Cambodia
KM366335	Cambodia	Cambodia
MH828450	VietNam	VietNam
MK790254	VietNam	VietNam
MK790257	VietNam	VietNam
EU086167	Cambodia	Cambodia
EU086130	Cambodia	Cambodia
KX148252	Cambodia	Cambodia
EU086158	Thailand	Thailand
EU086157	Thailand	Thailand
KM366238	Cambodia	Cambodia
KM366289	Cambodia	Cambodia
KM366288	Cambodia	Cambodia
KP315902	Thailand	Thailand
KP315901	Thailand	Thailand
KP315899	Thailand	Thailand
KP315882	Thailand	Thailand
KP315890	Thailand	Thailand
KP315891	Thailand	Thailand
KP315892	Thailand	Thailand
KP315893	Thailand	Thailand
KP315895	Thailand	Thailand
KP315883	Thailand	Thailand
KP315898	Thailand	Thailand
KP315900	Thailand	Thailand
KP315894	Thailand	Thailand
KP315889	Thailand	Thailand
KP315888	Thailand	Thailand
KP315884	Thailand	Thailand
KP315881	Thailand	Thailand
KM366269	Cambodia	Cambodia
KM366258	Cambodia	Cambodia
KP315885	Thailand	Thailand
KP315886	Thailand	Thailand
KP315887	Thailand	Thailand
KP315896	Thailand	Thailand
KP315897	Thailand	Thailand
KM366343	Cambodia	Cambodia
KM366227	Cambodia	Cambodia
KM366204	Cambodia	Cambodia
KM366337	Cambodia	Cambodia
KM366218	Cambodia	Cambodia
KM366209	Cambodia	Cambodia
KM366206	Cambodia	Cambodia
KM366226	Cambodia	Cambodia
KM366220	Cambodia	Cambodia
KM366213	Cambodia	Cambodia
EU086210	VietNam	VietNam
KM366267	Cambodia	Cambodia
AB614374	VietNam	VietNam
AB614373	VietNam	VietNam
KM366230	Cambodia	Cambodia
EU086209	VietNam	VietNam
KX148254	VietNam	VietNam
EU086159	VietNam	VietNam
EU086160	VietNam	VietNam
KM366262	Cambodia	Cambodia
KM366254	Cambodia	Cambodia
EU293107	Thailand	Thailand
MK370434	Thailand	Thailand
MK370433	Thailand	Thailand
MN075931	Thailand	Thailand
AB981677	Laos	Laos
KM366301	Cambodia	Cambodia
KY678623	Thailand	Thailand
LC071983	Thailand	Thailand
KM366257	Cambodia	Cambodia
KM366260	Cambodia	Cambodia
KM366242	Cambodia	Cambodia
KM366299	Cambodia	Cambodia
KM366217	Cambodia	Cambodia
EU086207	Thailand	Thailand
GU992307	Thailand	Thailand
EU086206	Thailand	Thailand
GQ303556	Thailand	Thailand
GQ303555	Thailand	Thailand
KY678616	Thailand	Thailand
KY678633	Thailand	Thailand
KY678625	Thailand	Thailand
KY678617	Thailand	Thailand
KY678626	Thailand	Thailand
KY678619	Thailand	Thailand
KY678630	Thailand	Thailand
KY678614	Thailand	Thailand
KY678618	Thailand	Thailand
KY678632	Thailand	Thailand
KY678615	Thailand	Thailand
KY678628	Thailand	Thailand
KY678620	Thailand	Thailand
KY678627	Thailand	Thailand
KY678622	Thailand	Thailand
KY678629	Thailand	Thailand
KY678631	Thailand	Thailand
AB981676	Laos	Laos
AB981674	Laos	Laos
AB981663	Laos	Laos
KX148256	Laos	Laos
KX148257	Laos	Laos
KX148258	Laos	Laos
EU086152	Laos	Laos
KU055499	Laos	Laos
KU055592	Laos	Laos
KU055498	Laos	Laos
EU086195	Laos	Laos
EU086193	Laos	Laos
KX148255	Laos	Laos
EU086213	Laos	Laos
EU086194	Laos	Laos
AB981665	Laos	Laos
AB981664	Laos	Laos
AB981668	Laos	Laos
AB981666	Laos	Laos
AB981672	Laos	Laos
AB981670	Laos	Laos
AB981675	Laos	Laos
AB981667	Laos	Laos
AB981671	Laos	Laos
AB981673	Laos	Laos
AB981669	Laos	Laos
MW690139	Malaysia	Malaysia
MW690141	Malaysia	Malaysia
MW690140	Malaysia	Malaysia
MW690155	Malaysia	Malaysia
MW690154	Malaysia	Malaysia
MW690152	Malaysia	Malaysia
MW690142	Malaysia	Malaysia
