node	British Empire	French Empire	Non-colonial	Portugese Empire	Russian Empire	Spainish Empire
n1050	0.9996854543501862	5.0047129055814074e-05	0.0001945462618115413	3.6864682573998467e-06	4.191668355544513e-05	2.4349107133429034e-05
FJ465399	1.0	0.0	0.0	0.0	0.0	0.0
n10541054	0.9999999958400455	6.618478641962269e-10	2.572813537460229e-09	4.8751675012751995e-11	5.543221699118412e-10	3.222190695580059e-10
FJ392384	1.0	0.0	0.0	0.0	0.0	0.0
KU739041	1.0	0.0	0.0	0.0	0.0	0.0
KX148219	1.0	0.0	0.0	0.0	0.0	0.0
n1089	0.9999999792142339	3.788277797995905e-11	2.0694356022639087e-08	2.790209119669271e-12	3.2213598380508427e-11	1.85235166422786e-11
n1138	0.99924142637352	0.0001206959459426195	0.00046917761272201883	8.890455494811258e-06	0.00010108819165190265	5.8721420668574284e-05
n11491149	0.9998992182573666	1.6035305153104633e-05	6.233344717363177e-05	1.1811595302239936e-06	1.343027711142363e-05	7.801553664767078e-06
MF474263	1.0	0.0	0.0	0.0	0.0	0.0
n1170	1.0	0.0	0.0	0.0	0.0	0.0
n1220	1.0	0.0	0.0	0.0	0.0	0.0
n1223	0.9999516850647007	7.687354136586334e-06	2.9882753290928756e-05	5.662500035978528e-07	6.4384990068575695e-06	3.7400788611785493e-06
n12251225	0.9996405300936212	5.714986077257626e-05	0.00022244010174285084	4.209655011738336e-06	4.78655354350273e-05	2.7804753416726783e-05
n1230	0.9999999943439789	8.996938895192684e-10	3.4988001568469586e-09	6.627139313806613e-11	7.535334149076554e-10	4.377222693186296e-10
n1231	0.0031315548800086145	9.41155639421712e-05	0.9966427816246503	6.932546292778672e-06	7.882594637959462e-05	4.578943872674538e-05
n1233	9.057926189862229e-28	6.339824514905182e-38	1.0	4.6661845858201765e-39	5.305646733908946e-38	3.0820129308435334e-38
JX944567	0.0	0.0	1.0	0.0	0.0	0.0
n1249	0.9996929532489119	2.1533515612110505e-06	0.00030188360038566357	1.5861573535136058e-07	1.8035271494682899e-06	1.0476562563088956e-06
n12501250	0.012106224675271268	0.00011044909960882099	0.9876289484583511	8.135673463146323e-06	9.250600474272702e-05	5.3736088562919925e-05
n12511251	0.9976711698044151	3.931108219774256e-05	0.0022345729245832964	2.8956517470577296e-06	3.292476960197966e-05	1.9125767454706204e-05
n12521252	0.9997066605977634	9.766159919296766e-06	0.00026992281000340557	7.193747017733873e-07	8.179590771535428e-06	4.751466840520945e-06
KC791853	1.0	0.0	0.0	0.0	0.0	0.0
HE801611	1.0	0.0	0.0	0.0	0.0	0.0
EU086128	0.0	0.0	1.0	0.0	0.0	0.0
JX987736	0.0	0.0	1.0	0.0	0.0	0.0
KU055518	0.0	0.0	1.0	0.0	0.0	0.0
EU086211	0.0	0.0	1.0	0.0	0.0	0.0
KP723578	0.0	0.0	1.0	0.0	0.0	0.0
KX148227	0.0	0.0	1.0	0.0	0.0	0.0
n1266	0.0	0.0	1.0	0.0	0.0	0.0
KP723582	0.0	0.0	1.0	0.0	0.0	0.0
