node	Caribbean	Central America	Central Asia	Eastern Africa	Eastern Asia	Eastern Europe	Middle Africa	Northern Africa	Northern America	Northern Europe	South America	South-Eastern Asia	Southern Africa	Southern Asia	Southern Europe	Western Africa	Western Asia	Western Europe
n730	6.623564621181066e-36	2.2419157357363129e-35	9.432641620596771e-36	1.0	3.165398416657082e-35	1.0618576447002361e-34	6.647873378043809e-35	5.614429724535411e-33	1.5564771006577871e-35	3.9144155521194586e-35	2.0114886241544745e-35	4.1104864996275033e-35	7.823834323604951e-36	2.808125479834073e-35	2.2573452343551048e-35	1.5053471909279283e-35	1.890367030337955e-35	2.3405274497854863e-35
n737737	1.4746668774980532e-71	4.991501756404501e-71	2.1000779182560312e-71	2.132844897455838e-68	7.047504200661218e-71	2.3641178419145918e-70	1.4800793087097247e-70	1.0	3.46533320752565e-71	8.71503232541319e-71	4.478366779332956e-71	9.151563557944048e-71	1.7418939858971382e-71	6.251994521893668e-71	5.02574069400311e-71	3.3515011011234356e-71	4.208711045971994e-71	5.210936887055909e-71
n741741	8.55413234179885e-31	2.8953357840650462e-30	1.218197084479429e-30	7.83212897264467e-30	4.087994841507423e-30	1.3713558798295043e-29	8.585525442231786e-30	1.0	2.0101426058860115e-30	5.055349079153818e-30	2.5977765973305876e-30	5.308568766929921e-30	1.0104244964330934e-30	3.626608953600398e-30	2.915292914758476e-30	1.944109008996973e-30	2.4413493958163607e-30	3.022720283068258e-30
n743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU643561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU643560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU643559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU853579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF831519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU853575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
